batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B040296,177,999,272,575,267,860,426,13,738,666,219,169,574,653,110,997,245,710,839,737,612,98,614,831,348,799,268,260,525,921
B002528,49,139,490,392,185,82,390,857,72,563,138,869,302,233,189,318,273,393,85,367,464,434,368,835,588,841,63,308,19,562
B044155,26,504,309,864,319,747,489,917,332,803,734,832,792,351,981,351,752,383,982,226,722,594,673,876,731,766,1,671,348,109
B040168,53,125,911,687,874,626,916,380,954,259,616,880,292,564,472,931,733,516,221,930,699,741,775,534,723,498,710,24,656,991
B005505,930,92,30,372,766,281,167,593,338,946,209,271,22,857,257,584,139,966,98,602,370,561,955,555,542,547,605,503,25,744
B011226,952,277,768,44,615,207,55,285,806,89,442,67,793,704,433,154,336,710,955,803,294,403,914,183,252,627,613,454,918,923
B030359,430,26,338,793,547,551,589,774,388,522,159,245,280,526,931,423,294,436,13,783,736,868,354,681,634,281,950,202,300,691
B011356,654,547,940,415,874,896,538,817,67,620,223,479,240,328,58,716,739,652,57,331,759,741,359,583,69,951,111,711,514,241
B032512,882,236,646,800,878,87,641,900,299,911,657,263,832,188,569,407,259,263,459,327,537,96,650,918,503,340,169,200,69,889
B000458,951,996,929,369,265,155,667,474,722,404,480,404,733,625,855,154,937,858,875,687,514,692,684,482,943,140,464,206,984,879
B049502,152,347,780,409,945,57,908,592,827,943,328,247,718,347,161,999,174,170,994,7,931,434,349,626,370,870,282,681,469,929
B014573,371,358,108,302,413,71,532,619,267,842,568,442,915,723,93,744,449,992,318,161,980,709,458,606,277,64,927,844,925,123
B028477,650,333,690,66,470,109,0,211,645,14,514,309,547,187,61,885,499,558,227,609,358,389,906,933,531,524,173,797,596,999
B004883,939,88,745,74,246,353,79,251,147,812,674,182,945,264,420,84,666,643,632,576,467,333,417,703,67,543,860,849,875,717
B021169,296,915,54,706,323,101,57,96,278,193,794,843,160,996,151,450,380,104,61,783,983,334,42,91,534,958,943,53,973,684
B006929,430,469,776,981,898,85,793,279,178,178,555,393,269,398,688,426,898,345,210,627,576,289,341,93,485,564,613,254,355,844
B046198,892,775,550,794,778,183,659,872,70,690,435,878,947,330,200,272,719,840,965,643,213,293,609,465,853,600,591,500,996,456
B006395,705,317,546,254,486,632,183,703,637,394,679,448,966,322,585,992,825,150,113,397,223,293,839,402,699,78,748,89,697,70
B024219,831,172,682,785,465,125,286,296,165,351,409,434,861,385,359,297,799,861,81,704,417,92,296,154,852,633,488,52,155,279
B039820,123,496,872,11,882,469,203,555,895,329,758,887,221,804,98,691,127,243,744,722,334,105,333,683,961,853,672,425,608,28
B000824,89,538,305,222,714,54,122,36,434,6,436,744,620,64,771,191,427,723,845,261,242,49,827,283,934,880,473,492,744,795
B009258,660,390,918,916,122,584,752,530,406,290,56,662,871,259,409,985,822,236,890,837,116,194,362,754,933,306,186,745,642,573
B024437,495,764,19,151,996,749,308,615,672,323,517,989,97,892,60,888,953,620,377,587,300,278,148,809,442,918,651,512,995,878
B006745,683,662,631,537,48,349,668,170,279,867,294,448,906,773,983,695,648,955,96,748,625,281,864,690,533,132,408,955,758,444
B008956,377,854,625,133,985,779,461,631,614,233,406,778,886,352,373,928,779,293,72,982,513,837,671,560,585,925,720,881,39,160
B029766,708,612,962,95,585,809,851,308,495,140,274,730,17,653,978,163,942,405,835,244,258,350,60,142,55,715,455,678,84,357
B038624,797,494,515,720,868,934,961,353,122,320,805,594,966,341,482,929,787,117,39,673,196,331,768,692,961,429,673,686,787,909
B044196,580,360,62,406,230,724,920,366,10,407,311,517,81,105,356,174,147,419,21,612,680,48,959,167,330,865,592,615,651,482
B022334,518,692,100,91,997,808,541,684,536,506,354,850,933,356,263,947,138,746,210,873,182,111,835,923,619,450,406,175,95,388
B015373,305,631,123,309,794,932,658,210,191,245,251,814,842,942,109,516,556,94,599,147,362,236,409,817,831,930,222,92,531,149
B023388,667,869,654,443,850,467,261,30,477,193,988,727,856,261,78,470,576,404,196,276,794,325,692,97,570,534,454,595,896,673
B013392,410,437,787,411,464,434,27,730,771,651,250,792,277,559,692,613,579,175,800,452,664,788,534,431,546,928,878,942,251,519
B011515,671,58,635,242,139,472,739,318,357,806,507,796,249,372,432,958,32,984,596,528,941,458,685,199,712,957,646,318,522,190
B034254,289,149,285,791,111,694,681,490,405,23,543,58,341,553,687,220,742,239,24,593,723,475,588,302,124,391,581,360,100,701
B003347,389,539,370,153,951,977,821,386,243,191,802,970,124,397,461,910,699,828,211,133,443,152,162,846,254,885,36,20,152,260
B043188,423,490,887,943,370,306,723,301,805,784,831,648,610,869,884,47,996,148,716,925,406,49,567,77,362,358,168,505,933,647
B042396,220,490,479,425,138,611,980,901,267,498,692,302,663,713,30,830,110,952,137,407,818,106,546,551,451,946,508,166,743,251
B034435,143,321,578,464,559,984,837,718,467,174,570,339,992,691,691,969,697,17,560,695,640,224,965,346,25,131,8,29,575,68
B003105,621,548,947,416,182,336,159,117,914,941,344,912,218,604,838,394,815,870,10,567,58,642,671,786,329,937,766,203,733,922
B008643,307,295,783,834,236,248,322,510,20,167,238,360,997,792,157,852,488,116,278,180,332,405,50,384,889,410,895,316,0,449
B034339,714,343,205,82,476,324,305,478,649,832,7,90,848,984,89,159,969,209,131,278,368,143,794,231,149,364,369,556,760,483
B020634,815,211,898,922,820,509,694,457,995,222,889,494,513,730,444,444,502,891,901,879,110,877,979,176,382,653,28,455,595,0
B014046,485,872,400,610,148,678,407,312,454,880,83,799,676,706,32,855,548,245,338,510,982,637,515,679,668,236,135,382,686,317
B016713,566,223,242,687,572,251,245,229,758,407,542,619,0,628,614,129,927,509,356,849,393,378,946,908,744,330,866,678,990,195
B046088,189,221,106,601,460,155,218,936,431,830,994,384,938,52,379,637,209,200,911,811,909,41,352,927,954,22,643,176,147,205
B042669,253,482,211,591,261,498,69,881,493,490,672,930,700,234,372,839,654,469,501,612,685,153,644,766,608,587,254,438,87,496
B031403,774,297,205,982,632,542,659,673,685,651,614,371,4,511,630,10,415,952,80,777,309,683,34,876,312,437,639,439,405,921
B014246,252,939,625,547,426,284,807,797,628,305,282,35,307,313,557,277,731,951,729,442,467,272,745,770,957,687,22,632,787,375
B028759,695,933,599,897,600,997,116,400,652,652,830,782,538,561,941,839,268,573,26,307,246,750,102,798,218,971,987,299,583,810
B001178,305,361,826,639,839,428,69,628,51,314,581,957,403,134,356,794,160,913,98,95,565,79,333,697,136,755,902,807,672,641
B004485,609,913,583,453,484,814,389,910,715,614,404,396,211,403,937,579,597,570,719,802,572,451,15,624,55,926,819,558,437,544
B010965,972,312,647,75,904,858,311,91,335,850,121,342,46,592,768,49,589,891,211,36,266,52,894,238,976,620,392,814,137,57
B027924,614,151,591,699,102,922,684,610,11,725,823,582,514,115,391,851,577,550,294,440,899,734,843,159,779,227,868,971,941,715
B015616,913,612,116,766,986,497,394,594,378,291,215,985,219,890,826,859,257,109,272,326,707,401,102,502,673,218,944,488,584,902
B045889,550,638,217,231,235,33,633,467,736,606,928,737,423,235,879,822,494,376,458,349,970,22,94,230,399,292,501,878,190,523
B011803,429,414,65,85,256,101,805,427,813,549,494,20,8,223,347,944,631,553,485,918,928,523,653,423,29,899,567,365,336,252
B048503,887,857,405,936,112,407,86,222,436,838,660,108,199,886,41,686,242,520,100,23,688,183,977,461,903,66,85,781,50,972
B029618,274,217,832,594,505,121,762,87,538,261,336,926,933,812,541,469,733,220,113,681,684,830,5,909,53,305,190,112,717,552
B028742,583,104,192,343,103,711,787,792,456,113,219,770,331,845,239,578,713,95,469,826,259,130,693,462,691,650,741,571,898,374
B038792,74,418,609,305,36,128,0,546,806,752,75,620,663,880,575,589,727,309,806,239,712,462,43,583,224,106,464,600,655,209
B036738,428,555,896,920,85,107,183,826,559,324,134,840,29,559,737,616,351,96,406,134,519,580,141,330,2,187,399,288,862,935
B033066,35,552,828,21,505,982,409,391,330,743,699,274,615,43,838,179,101,36,672,593,692,941,806,677,7,347,19,3,464,97
B023870,287,689,954,245,83,829,439,450,185,565,516,650,899,25,862,601,289,110,831,327,963,925,575,928,654,784,549,215,950,7
B025516,681,378,344,655,319,954,445,577,546,856,650,226,536,70,550,983,571,716,869,633,153,934,157,24,875,355,516,208,232,692
B046904,586,477,792,477,649,617,532,907,470,743,482,224,260,602,840,148,198,242,566,337,829,740,707,14,556,723,343,964,728,978
B036558,901,827,972,58,339,112,145,322,385,30,480,738,300,662,87,930,865,557,76,960,99,518,151,928,456,458,109,914,518,860
B022896,327,475,877,21,729,787,992,171,487,891,113,193,332,780,258,430,243,817,567,835,309,248,821,338,199,845,143,862,675,303
B039612,725,905,851,541,250,935,251,931,710,781,562,741,973,745,918,751,23,990,608,31,894,892,663,12,298,39,95,725,295,189
B045754,466,88,107,918,907,225,928,385,479,629,476,189,519,128,547,651,186,965,318,216,908,291,373,460,789,522,659,356,538,439
B029509,914,803,113,854,763,968,711,5,411,137,329,765,968,66,44,755,642,882,451,643,643,356,271,794,575,915,39,108,889,150
B029397,384,638,767,942,799,403,431,228,624,300,466,284,534,424,742,996,607,835,933,20,889,71,446,683,866,842,830,249,384,830
B043072,280,702,681,660,944,348,394,484,384,491,912,681,334,898,223,382,38,851,88,444,720,137,734,902,322,893,286,130,762,7
B031622,879,168,817,43,350,778,254,86,968,296,288,146,41,466,104,367,923,499,348,705,704,656,815,804,563,432,138,5,582,504
B000644,338,91,127,247,769,572,387,477,80,727,916,346,986,109,461,368,844,291,566,394,621,338,874,938,234,671,137,23,717,104
B048438,692,51,1,447,162,981,348,232,163,453,454,855,146,174,786,21,639,357,461,35,191,483,376,255,473,820,412,119,823,370
B050170,577,94,306,817,468,215,87,873,203,829,178,864,895,766,2,578,830,660,439,810,451,584,726,805,340,272,193,948,40,623
B036037,729,277,955,316,837,580,441,597,365,620,367,462,727,373,907,582,812,205,4,13,684,22,306,683,946,8,403,602,296,666
B015494,985,659,904,393,701,104,424,69,82,20,68,47,902,142,50,905,265,835,367,299,212,740,576,265,467,781,208,771,788,640
B007581,575,300,949,376,607,552,887,6,338,746,482,428,804,460,365,743,603,392,974,445,25,466,623,400,437,263,11,879,136,436
B024022,795,646,486,85,340,501,374,877,469,952,890,800,680,205,424,64,598,837,778,468,11,690,514,530,269,12,457,268,543,775
B035888,663,447,272,54,722,578,82,289,271,307,678,582,347,797,330,534,220,286,802,399,148,180,254,468,97,542,236,465,58,614
B019815,167,221,463,306,687,717,796,890,735,381,210,812,961,634,572,404,282,697,214,344,598,3,388,694,798,522,847,740,748,938
B026121,755,366,632,806,143,61,135,156,546,210,954,593,414,933,331,513,162,499,20,36,123,891,645,25,863,824,548,943,752,847
B005211,150,432,706,250,954,151,451,977,474,298,541,415,162,419,662,481,114,97,91,47,956,314,363,303,412,856,321,491,982,697
B002065,499,964,53,134,242,793,414,979,517,242,90,181,398,321,799,895,270,891,481,534,410,230,370,28,485,359,159,228,809,716
B043320,444,526,485,40,769,574,957,427,465,663,759,139,602,123,555,932,423,347,856,951,667,824,14,61,903,777,341,698,321,623
B035325,52,484,726,743,527,984,44,178,768,720,88,846,338,564,30,855,365,717,795,836,112,594,489,56,298,269,476,428,181,356
B005224,8,849,82,234,168,998,423,80,267,604,567,24,995,127,962,358,179,272,595,601,624,942,793,187,781,355,617,482,150,229
B039447,915,527,28,77,258,459,459,478,276,793,482,330,124,261,77,953,488,925,591,149,669,480,827,593,343,353,73,199,393,603
B049960,773,483,158,703,824,378,526,803,276,724,2,175,2,492,599,854,597,421,62,996,348,453,738,867,734,465,445,637,346,672
B000148,284,133,384,177,20,456,381,267,398,362,330,968,108,679,751,629,617,638,155,204,143,408,461,558,64,825,930,915,51,802
B014508,742,294,104,377,545,327,0,505,158,717,582,388,460,215,450,31,296,407,519,299,619,164,442,921,948,239,271,165,530,795
B009055,822,304,277,166,831,619,803,574,202,357,813,243,925,767,121,937,218,841,83,697,655,483,650,177,990,384,145,842,475,896
B043652,734,395,332,48,87,479,938,860,721,100,848,654,420,964,914,347,851,852,883,427,753,427,645,41,730,773,382,83,662,732
B019765,851,595,150,11,716,751,804,386,850,598,703,41,913,928,276,296,81,77,614,26,724,494,69,631,982,62,615,704,258,48
B008113,99,469,41,492,758,969,825,182,821,330,260,294,327,378,646,517,851,120,879,762,782,732,988,662,577,145,732,998,542,219
B000241,935,63,111,994,345,354,674,973,900,999,323,122,888,295,74,64,925,378,784,897,833,756,445,344,205,932,308,801,301,379
B019607,158,754,545,671,872,669,623,527,444,461,747,963,725,862,637,409,264,965,214,556,807,423,252,295,259,716,261,345,457,254
B032406,249,769,383,860,581,830,59,135,508,433,364,384,605,379,258,307,289,898,146,717,540,349,570,893,776,427,939,512,760,641
B020477,912,496,540,44,592,569,741,267,40,463,628,794,421,240,896,479,475,0,79,639,198,743,702,990,232,862,194,26,639,570
B035769,853,951,923,11,107,33,187,295,516,866,212,618,228,88,436,716,168,676,655,763,194,311,732,152,340,641,385,240,214,572
B021114,141,658,517,295,56,791,80,417,409,442,222,197,33,287,11,810,860,915,276,23,493,529,927,796,891,35,315,566,927,649
B001414,184,820,497,895,180,342,687,302,363,950,526,892,134,572,396,126,147,99,174,494,417,28,308,778,74,107,380,468,658,98
B030552,391,778,417,733,98,424,510,328,953,939,799,641,559,487,486,233,252,878,152,79,401,665,272,182,328,218,769,63,245,675
B026116,329,128,229,715,749,137,650,312,542,491,560,559,443,619,572,218,716,776,464,682,251,903,411,531,96,887,487,472,427,216
B042880,980,944,824,779,902,265,577,435,555,88,426,169,773,28,249,518,12,220,3,655,460,361,183,9,580,900,499,253,636,470
B006747,32,66,472,694,418,956,877,172,964,385,139,43,421,776,841,589,497,24,13,968,27,681,77,315,523,664,322,112,626,624
B036180,95,593,39,79,272,615,992,206,432,800,181,458,750,760,208,585,722,656,302,461,219,469,532,354,207,239,295,273,90,340
B031580,630,414,296,583,159,963,323,586,338,323,472,478,487,690,225,357,830,591,789,228,967,544,727,654,625,437,128,208,353,707
B043310,107,414,182,546,253,328,914,829,535,411,277,969,570,112,272,80,632,886,237,913,419,879,205,616,322,173,818,10,341,629
B032393,937,436,605,870,662,446,514,247,93,21,179,636,929,880,465,881,967,107,97,594,464,304,809,804,560,610,79,947,308,725
B017928,384,491,309,775,570,964,870,826,200,273,249,163,101,509,333,157,820,954,986,972,290,273,998,989,472,600,825,894,714,950
B006721,623,438,963,444,452,388,616,379,831,244,225,532,147,207,8,102,145,574,25,830,134,944,433,424,994,523,377,998,484,191
B026085,25,948,209,303,712,540,784,834,982,760,520,375,99,820,231,438,404,748,115,126,827,536,781,724,797,652,394,274,735,224
B042536,802,227,964,532,384,44,335,20,142,677,82,220,624,919,785,749,395,839,306,241,349,480,800,459,909,905,284,893,111,630
B005850,220,998,682,578,387,200,15,621,146,692,125,8,174,630,263,852,718,381,513,655,148,179,611,483,888,54,242,723,194,308
B012497,849,274,116,955,17,633,334,133,335,413,458,939,532,999,820,961,70,374,304,980,817,382,312,134,37,150,959,375,974,924
B003555,221,175,371,86,278,784,240,3,663,390,385,818,567,346,657,22,577,417,145,955,614,195,854,316,141,571,375,715,147,791
B011793,762,776,390,95,154,902,102,727,495,724,788,579,534,241,68,588,744,551,808,373,115,670,827,618,371,294,10,532,515,551
B036916,662,952,860,545,954,847,118,706,513,653,449,235,162,140,810,761,531,858,418,261,495,952,870,781,500,555,720,115,790,63
B012054,287,595,412,431,690,124,810,980,795,842,700,227,214,964,709,69,597,307,63,396,854,848,681,658,783,741,223,212,737,546
B031429,985,456,673,19,489,449,149,959,875,702,939,701,939,841,41,166,435,275,917,548,823,517,163,770,867,922,430,208,938,356
B025929,57,419,984,468,289,588,52,484,511,125,269,816,205,463,341,278,200,656,301,593,96,433,767,947,321,906,550,50,826,423
B023268,226,523,568,886,342,63,363,979,887,445,430,926,513,475,457,962,589,855,304,629,70,589,203,82,594,975,495,234,469,32
B017012,985,744,659,921,405,843,171,291,430,907,74,399,565,40,472,280,109,240,224,157,352,967,303,467,566,655,629,877,42,488
B030971,980,380,343,259,645,559,91,241,509,143,484,708,226,690,634,580,734,25,833,283,778,852,661,125,797,547,842,551,783,780
B048515,178,173,72,238,311,787,280,647,918,880,200,935,762,698,259,5,805,68,882,190,405,694,426,93,399,355,154,555,527,730
B000484,656,307,151,316,529,345,788,67,869,345,632,676,86,924,293,278,9,713,556,752,772,308,244,903,662,620,920,755,111,308
B001900,35,334,745,468,842,687,238,671,198,715,223,494,638,424,74,803,278,118,754,438,844,290,739,938,230,842,503,160,360,31
B003501,824,302,280,423,110,608,775,136,658,562,953,142,30,646,806,299,678,297,275,266,847,146,489,864,92,371,994,268,51,213
B028227,495,306,647,217,466,142,844,508,897,633,656,346,26,575,492,635,375,982,718,659,119,545,191,369,152,475,128,718,534,742
B028732,668,645,916,178,686,473,653,61,388,456,844,53,767,635,104,360,594,439,981,759,653,21,23,610,312,998,402,622,212,171
B019999,12,313,684,956,719,779,381,193,556,723,642,52,915,922,612,909,361,845,614,359,636,131,160,991,50,22,691,28,909,160
B026278,62,440,785,982,362,496,363,896,457,263,806,127,267,819,263,377,930,908,902,247,551,856,20,720,253,749,466,323,351,963
B029124,905,524,326,77,791,347,572,613,214,517,125,715,303,18,885,360,47,87,866,344,577,384,940,207,554,597,98,105,34,74
B032390,486,746,889,801,405,345,748,128,657,23,406,703,842,873,683,187,586,240,89,82,915,806,112,474,441,882,850,795,292,768
B022814,233,169,306,180,860,124,350,394,334,787,943,770,54,409,330,104,677,216,363,344,970,552,546,784,617,692,877,826,954,617
B024943,255,430,999,250,249,720,460,154,406,96,755,962,5,8,131,980,658,237,402,783,728,550,56,261,192,344,440,164,687,444
B002556,923,147,660,833,514,428,712,544,604,484,775,640,329,741,212,629,114,507,750,365,689,389,15,72,82,676,136,127,361,203
B041988,806,745,888,925,47,549,176,470,689,666,601,677,641,352,895,192,931,38,327,926,5,703,479,139,801,421,262,918,22,220
B000169,159,559,771,962,108,110,793,811,275,154,182,285,638,830,561,978,507,600,139,979,847,926,572,793,32,610,919,416,306,449
B033871,314,26,334,357,545,376,84,648,521,111,899,725,921,764,147,171,962,878,17,957,918,322,909,613,159,992,723,649,568,810
B024544,319,198,519,151,324,581,574,386,473,39,994,783,746,92,801,725,74,507,352,98,159,10,724,703,273,264,631,656,545,585
B018739,610,728,819,237,939,668,111,596,321,105,670,799,303,994,760,222,132,316,81,616,389,723,421,26,718,590,523,98,367,491
B040834,585,366,458,824,17,348,601,68,596,420,944,559,506,277,226,951,850,654,891,672,963,404,590,341,167,269,953,13,586,502
B017702,511,263,516,391,760,779,449,839,739,699,985,476,102,198,18,256,954,654,177,676,233,876,533,36,926,71,411,686,594,985
B002946,911,265,919,580,832,85,880,41,427,832,136,406,858,522,243,340,929,967,225,376,142,939,562,291,963,218,402,391,899,12
B013978,653,645,184,971,892,298,756,694,374,383,612,626,533,117,259,311,992,288,688,702,890,191,511,493,959,103,693,276,421,556
B021456,419,546,425,438,290,995,167,256,768,804,586,785,860,94,187,17,474,754,265,283,332,409,192,290,330,275,367,720,404,638
B044025,391,3,424,268,216,368,805,12,485,385,236,274,416,129,604,904,556,892,469,613,879,682,467,627,557,708,433,283,504,243
B046046,206,323,776,937,41,23,205,752,256,500,907,488,925,427,23,688,889,106,573,910,813,434,432,228,309,996,310,33,488,618
B036631,271,668,11,269,14,703,672,115,524,7,691,203,292,572,976,549,472,585,879,572,614,144,144,638,228,66,596,823,599,958
B017868,134,416,897,151,462,421,588,494,959,851,52,583,982,647,224,5,570,282,958,349,803,617,927,554,693,113,462,909,747,898
B040687,111,255,85,105,106,96,380,201,829,741,894,680,424,701,272,622,578,759,191,525,798,21,201,365,596,140,775,273,951,736
B036134,23,676,73,954,489,837,564,541,671,935,537,160,647,226,953,739,327,114,836,636,764,528,307,229,709,613,138,496,245,86
B045724,769,119,878,851,301,298,739,99,664,539,475,836,777,14,236,779,744,393,527,865,231,102,0,380,884,138,736,693,686,738
B042968,73,978,442,2,514,457,20,88,898,707,728,793,678,110,991,914,909,921,430,944,611,181,913,274,15,306,233,580,786,955
B031341,713,327,879,390,142,955,487,30,173,407,753,868,432,669,668,171,586,121,67,334,678,587,97,543,434,283,867,297,390,500
B049138,763,851,361,964,202,951,380,131,855,919,598,126,30,323,255,953,616,520,466,135,691,762,48,345,289,0,980,43,66,935
B034240,443,111,996,124,973,88,931,50,455,584,179,427,444,979,720,862,693,274,933,790,500,39,785,102,575,951,662,369,288,134
B011814,744,485,489,575,523,549,394,815,814,676,757,858,790,124,927,120,609,893,484,790,726,402,285,661,145,576,984,164,21,685
B018645,500,817,394,915,777,27,1,818,814,329,975,1,235,863,433,340,197,193,477,357,935,560,908,904,193,888,570,253,636,998
B015529,27,687,521,889,826,624,731,750,879,990,922,186,122,610,808,64,124,838,683,872,462,982,467,772,203,291,611,440,34,848
B039069,239,598,850,524,745,360,630,64,604,8,864,496,902,677,212,626,903,783,192,921,994,298,508,178,869,522,584,408,703,360
B014599,773,161,851,165,890,698,337,326,212,261,160,813,205,141,922,946,191,221,899,388,866,925,969,854,130,337,407,193,553,179
B032670,521,382,804,347,578,250,926,358,8,897,634,69,296,334,279,721,403,777,285,436,756,346,785,65,2,211,149,965,578,653
B012774,776,885,61,715,785,211,15,494,488,141,755,810,277,449,877,428,541,678,61,680,691,552,432,315,119,813,284,576,350,336
B025427,658,173,401,819,523,850,133,527,880,59,327,972,802,160,164,446,195,751,694,206,844,680,535,86,883,718,173,963,215,386
B028153,810,912,384,213,337,245,935,41,698,520,668,172,759,501,152,419,19,740,668,881,895,907,183,484,227,414,804,834,265,594
B003676,893,952,677,281,761,797,63,833,313,919,844,434,651,933,586,878,405,477,140,615,915,927,349,80,579,669,284,838,287,768
B038101,369,174,622,787,356,775,791,333,669,551,466,429,176,60,665,889,802,454,328,892,555,941,373,384,211,183,748,924,199,367
B010912,135,753,672,345,811,397,174,704,189,871,53,949,819,670,956,318,674,474,465,54,66,940,152,110,544,507,969,410,156,744
B026316,847,605,163,905,594,229,379,865,60,955,421,949,850,199,433,165,494,67,610,743,170,434,95,421,730,655,216,673,991,972
B030233,726,785,995,280,799,441,655,448,741,644,173,54,143,473,135,300,785,11,747,291,996,389,845,156,117,565,523,183,987,320
B008660,433,770,250,965,66,596,307,632,791,681,762,351,316,222,369,140,369,859,636,621,211,13,132,239,846,477,630,481,89,546
B049014,371,652,121,516,593,392,839,724,215,659,285,521,533,568,997,706,999,969,101,721,248,510,642,942,975,899,386,822,680,962
B020072,126,281,680,825,760,774,893,873,780,450,270,97,667,979,629,426,445,3,465,763,108,525,855,871,252,638,19,178,734,797
B026209,293,672,477,502,464,8,782,7,973,28,177,862,361,514,584,926,894,957,419,15,193,270,647,36,431,599,308,635,536,677
B027943,901,414,44,399,59,924,227,336,81,600,390,397,15,400,283,191,760,988,125,460,858,157,487,206,572,436,261,994,407,490
B026645,662,299,706,945,10,238,548,553,766,480,248,391,691,917,688,721,863,906,991,620,886,7,163,468,963,185,7,284,885,603
