serial_nbr,batchID
S000B034502,B034502
S000B024483,B024483
S005B042623,B042623
S001B034604,B034604
S006B008144,B008144
S009B019333,B019333
S000B038642,B038642
S005B009049,B009049
S002B010540,B010540
S000B043278,B043278
S009B001228,B001228
S002B002218,B002218
S006B001087,B001087
S003B041721,B041721
S007B032627,B032627
S007B003447,B003447
S009B048434,B048434
S000B002565,B002565
S000B006100,B006100
S008B016912,B016912
S001B030123,B030123
S000B012120,B012120
S008B007306,B007306
S001B013562,B013562
S003B047495,B047495
S009B014875,B014875
S004B016098,B016098
S001B014437,B014437
S008B030676,B030676
S001B044983,B044983
S007B036636,B036636
S004B029766,B029766
S008B043090,B043090
S006B018697,B018697
S001B004798,B004798
S008B015814,B015814
S004B023157,B023157
S001B001905,B001905
S002B024048,B024048
S002B049163,B049163
S001B013629,B013629
S006B036892,B036892
S005B043499,B043499
S005B004989,B004989
S001B018620,B018620
S007B032670,B032670
S004B020751,B020751
S006B024162,B024162
S002B026688,B026688
S003B043212,B043212
S007B043050,B043050
S009B045833,B045833
S005B028675,B028675
S006B006641,B006641
S001B006678,B006678
S004B013609,B013609
S004B049958,B049958
S002B021548,B021548
S002B046213,B046213
S008B037127,B037127
S008B014063,B014063
S002B040925,B040925
S008B031846,B031846
S004B050119,B050119
S002B044992,B044992
S006B038372,B038372
S001B016098,B016098
S006B010675,B010675
S007B037260,B037260
S008B022747,B022747
S001B034842,B034842
S009B008186,B008186
S009B045244,B045244
S003B013211,B013211
S008B027753,B027753
S007B023830,B023830
S000B037925,B037925
S002B025905,B025905
S009B035853,B035853
S008B042467,B042467
S000B011226,B011226
S007B015551,B015551
S005B047526,B047526
S003B002766,B002766
S003B001187,B001187
S009B030948,B030948
S001B006641,B006641
S002B034622,B034622
S007B041953,B041953
S004B034806,B034806
S002B025393,B025393
S006B038610,B038610
S008B045284,B045284
S009B015336,B015336
S001B004864,B004864
S002B037360,B037360
S002B000406,B000406
S000B015273,B015273
S000B030249,B030249
S004B031622,B031622
S004B024838,B024838
S002B034772,B034772
S004B007306,B007306
S007B014008,B014008
S000B007597,B007597
S005B004482,B004482
S000B010072,B010072
S002B007566,B007566
S009B028609,B028609
S007B013385,B013385
S008B016455,B016455
S004B025833,B025833
S007B007846,B007846
S001B000070,B000070
S001B019393,B019393
S002B017100,B017100
S004B037907,B037907
S005B042727,B042727
S001B018847,B018847
S005B049116,B049116
S000B039381,B039381
S007B007573,B007573
S009B033515,B033515
S003B012155,B012155
S007B036726,B036726
S001B039080,B039080
S007B038610,B038610
S000B024838,B024838
S006B013016,B013016
S002B040278,B040278
S007B046655,B046655
S008B004989,B004989
S000B016319,B016319
S007B042774,B042774
S004B045338,B045338
S008B032879,B032879
S003B024004,B024004
S009B048472,B048472
S002B003245,B003245
S004B007249,B007249
S001B025843,B025843
S008B041226,B041226
S007B018194,B018194
S004B034609,B034609
S009B040465,B040465
S005B028391,B028391
S004B043052,B043052
S005B006947,B006947
S008B015205,B015205
S009B021835,B021835
S003B022647,B022647
S002B042087,B042087
S009B006862,B006862
S003B012891,B012891
S003B006376,B006376
S002B043072,B043072
S003B016072,B016072
S005B018697,B018697
S006B030918,B030918
S000B014671,B014671
S003B033903,B033903
S009B035044,B035044
S003B013385,B013385
S003B031228,B031228
S007B031635,B031635
S002B009728,B009728
S000B018657,B018657
S008B013274,B013274
S003B033684,B033684
S003B040925,B040925
S001B006760,B006760
S004B009008,B009008
S002B036971,B036971
S009B012643,B012643
S003B014671,B014671
S008B019811,B019811
S009B008445,B008445
S002B036014,B036014
S008B045801,B045801
S006B026331,B026331
S008B019099,B019099
S007B019503,B019503
S001B010950,B010950
S004B035757,B035757
S003B047455,B047455
S001B005176,B005176
S005B002864,B002864
S007B011149,B011149
S001B049885,B049885
S004B024544,B024544
S006B036478,B036478
S000B034240,B034240
S007B033403,B033403
S001B043499,B043499
S009B050061,B050061
S000B047032,B047032
S004B040003,B040003
S003B001259,B001259
S006B008566,B008566
S008B008702,B008702
S002B033320,B033320
S000B012956,B012956
S005B036417,B036417
S003B024943,B024943
S006B024628,B024628
S002B050287,B050287
S003B033405,B033405
S001B040978,B040978
S002B015983,B015983
S007B024257,B024257
S002B049199,B049199
S001B045889,B045889
S006B023236,B023236
S001B023713,B023713
S000B045984,B045984
S003B044734,B044734
S008B012011,B012011
S001B038427,B038427
S006B001896,B001896
S008B038835,B038835
S001B035995,B035995
S006B028222,B028222
S008B030674,B030674
S001B028190,B028190
S007B025270,B025270
S000B013944,B013944
S008B035788,B035788
S005B045190,B045190
S009B026185,B026185
S002B033959,B033959
S007B046588,B046588
S006B042253,B042253
S004B038193,B038193
S000B044984,B044984
S007B006967,B006967
S004B040687,B040687
S007B000681,B000681
S008B006760,B006760
S007B014252,B014252
S004B042585,B042585
S005B034154,B034154
S002B001905,B001905
S008B029278,B029278
S004B002867,B002867
S005B016746,B016746
S009B021493,B021493
S003B013945,B013945
S007B034822,B034822
S005B002133,B002133
S000B027328,B027328
S004B035871,B035871
S004B028859,B028859
S000B034822,B034822
S008B000841,B000841
S004B002513,B002513
S009B036619,B036619
S003B013337,B013337
S000B028899,B028899
S006B011573,B011573
S003B035676,B035676
S007B006266,B006266
S007B037041,B037041
S008B014480,B014480
S001B007447,B007447
S007B023283,B023283
S006B021868,B021868
S004B030391,B030391
S002B017359,B017359
S000B016657,B016657
S008B029087,B029087
S007B002277,B002277
S007B017521,B017521
S006B006014,B006014
S001B028757,B028757
S000B037313,B037313
S005B010912,B010912
S009B044084,B044084
S000B018156,B018156
S001B037925,B037925
S006B022601,B022601
S007B027359,B027359
S002B010675,B010675
S008B024222,B024222
S001B039283,B039283
S008B028647,B028647
S009B020799,B020799
S002B014949,B014949
S001B028997,B028997
S001B049783,B049783
S005B043033,B043033
S005B013880,B013880
S001B024552,B024552
S007B001360,B001360
S001B025239,B025239
S000B039565,B039565
S000B031751,B031751
S002B050039,B050039
S009B004751,B004751
S000B041502,B041502
S003B009049,B009049
S000B021022,B021022
S007B008566,B008566
S004B018969,B018969
S007B036879,B036879
S006B024479,B024479
S005B032159,B032159
S005B033405,B033405
S009B040098,B040098
S002B045995,B045995
S003B026926,B026926
S000B045468,B045468
S008B024541,B024541
S000B013474,B013474
S008B039764,B039764
S003B000406,B000406
S007B043240,B043240
S002B047276,B047276
S008B006641,B006641
S002B017464,B017464
S008B021073,B021073
S004B049935,B049935
S007B007078,B007078
S007B012672,B012672
S008B004205,B004205
S002B032511,B032511
S009B043931,B043931
S000B000764,B000764
S003B008310,B008310
S000B042253,B042253
S007B034547,B034547
S006B032850,B032850
S000B014416,B014416
S000B026651,B026651
S000B000502,B000502
S009B008423,B008423
S001B018114,B018114
S007B023569,B023569
S009B043972,B043972
S008B019129,B019129
S002B008310,B008310
S006B034604,B034604
S008B002217,B002217
S008B026964,B026964
S007B028742,B028742
S000B013182,B013182
S000B028010,B028010
S001B013747,B013747
S009B034806,B034806
S005B022654,B022654
S008B023064,B023064
S005B037248,B037248
S008B014365,B014365
S007B034772,B034772
S007B013944,B013944
S007B013204,B013204
S003B047548,B047548
S005B011007,B011007
S001B011149,B011149
S006B018394,B018394
S006B043765,B043765
S002B018114,B018114
S002B012347,B012347
S001B000604,B000604
S000B039391,B039391
S003B028905,B028905
S008B023479,B023479
S000B027359,B027359
S001B016659,B016659
S002B012983,B012983
S002B011260,B011260
S002B036251,B036251
S006B016459,B016459
S005B027872,B027872
S003B042083,B042083
S000B043765,B043765
S007B017077,B017077
S005B003316,B003316
S005B000841,B000841
S003B007792,B007792
S002B039080,B039080
S001B012686,B012686
S006B013810,B013810
S009B040211,B040211
S003B036269,B036269
S007B040135,B040135
S000B007097,B007097
S004B015270,B015270
S004B040909,B040909
S007B017836,B017836
S004B009593,B009593
S009B020917,B020917
S003B025920,B025920
S002B001187,B001187
S004B016693,B016693
S009B018594,B018594
S008B009842,B009842
S001B019827,B019827
S004B000862,B000862
S005B010693,B010693
S004B008648,B008648
S001B042432,B042432
S003B037430,B037430
S006B012289,B012289
S003B001495,B001495
S006B001119,B001119
S005B046268,B046268
S008B010893,B010893
S003B038614,B038614
S008B002373,B002373
S003B022896,B022896
S005B015336,B015336
S008B007079,B007079
S000B008992,B008992
S003B045284,B045284
S006B012347,B012347
S005B023067,B023067
S009B022319,B022319
S002B033888,B033888
S008B034168,B034168
S009B042679,B042679
S001B002216,B002216
S002B031846,B031846
S006B026367,B026367
S001B035559,B035559
S009B037447,B037447
S006B033165,B033165
S009B027807,B027807
S008B031949,B031949
S004B010613,B010613
S000B028732,B028732
S007B003849,B003849
S008B049981,B049981
S006B026408,B026408
S000B035340,B035340
S008B046559,B046559
S003B039376,B039376
S006B004751,B004751
S002B041988,B041988
S007B041261,B041261
S007B027872,B027872
S008B038646,B038646
S008B028551,B028551
S003B025610,B025610
S006B033907,B033907
S001B031813,B031813
S003B026467,B026467
S006B042222,B042222
S004B043499,B043499
S008B005626,B005626
S000B000126,B000126
S006B014489,B014489
S003B037532,B037532
S000B002321,B002321
S006B002436,B002436
S002B006156,B006156
S000B046392,B046392
S008B044975,B044975
S008B032143,B032143
S005B040352,B040352
S006B011007,B011007
S002B008194,B008194
S004B036519,B036519
S003B025905,B025905
S002B045801,B045801
S006B037430,B037430
S004B047602,B047602
S003B045542,B045542
S009B026443,B026443
S005B027172,B027172
S003B045061,B045061
S006B025542,B025542
S009B003156,B003156
S005B015983,B015983
S005B006816,B006816
S003B035757,B035757
S006B026116,B026116
S005B023666,B023666
S004B037360,B037360
S002B005176,B005176
S005B024481,B024481
S008B005714,B005714
S006B046759,B046759
S009B035325,B035325
S004B021025,B021025
S005B014256,B014256
S006B043419,B043419
S006B000169,B000169
S008B011986,B011986
S008B004783,B004783
S006B020021,B020021
S005B038028,B038028
S004B033716,B033716
S008B010523,B010523
S002B043090,B043090
S008B000496,B000496
S002B044090,B044090
S004B010893,B010893
S002B039070,B039070
S002B033535,B033535
S007B020072,B020072
S004B016709,B016709
S003B034337,B034337
S000B034254,B034254
S004B007079,B007079
S009B044608,B044608
S007B009336,B009336
S007B040465,B040465
S006B047382,B047382
S003B036154,B036154
S001B017269,B017269
S003B028757,B028757
S008B043353,B043353
S001B016664,B016664
S002B027953,B027953
S000B030336,B030336
S003B022654,B022654
S005B015524,B015524
S004B020592,B020592
S007B004785,B004785
S001B014450,B014450
S006B013300,B013300
S002B022814,B022814
S006B011343,B011343
S003B012708,B012708
S009B034653,B034653
S001B020310,B020310
S009B031340,B031340
S008B031764,B031764
S005B000290,B000290
S003B042030,B042030
S002B038505,B038505
S006B020652,B020652
S005B036366,B036366
S002B018441,B018441
S009B018114,B018114
S009B047023,B047023
S004B026467,B026467
S000B003279,B003279
S000B017233,B017233
S000B028853,B028853
S001B001853,B001853
S005B031143,B031143
S009B016625,B016625
S009B019973,B019973
S009B046640,B046640
S005B050119,B050119
S008B016944,B016944
S004B030227,B030227
S009B009728,B009728
S009B047922,B047922
S005B016625,B016625
S009B019194,B019194
S004B038963,B038963
S000B048327,B048327
S009B012263,B012263
S006B040360,B040360
S003B041681,B041681
S007B029445,B029445
S007B021119,B021119
S008B043052,B043052
S006B033716,B033716
S004B049036,B049036
S003B004501,B004501
S001B005540,B005540
S004B030331,B030331
S008B008378,B008378
S006B016693,B016693
S005B037900,B037900
S002B037011,B037011
S001B036086,B036086
S002B028153,B028153
S003B005323,B005323
S007B016709,B016709
S008B037096,B037096
S000B036478,B036478
S002B013442,B013442
S006B014374,B014374
S001B028162,B028162
S004B030019,B030019
S003B002719,B002719
S009B010495,B010495
S001B008453,B008453
S009B010565,B010565
S003B017144,B017144
S006B027953,B027953
S008B043976,B043976
S009B000124,B000124
S002B012420,B012420
S003B013224,B013224
S005B026356,B026356
S008B021760,B021760
S005B048085,B048085
S005B020378,B020378
S007B043158,B043158
S009B028010,B028010
S006B048085,B048085
S005B047440,B047440
S007B009197,B009197
S001B006100,B006100
S001B002128,B002128
S003B031646,B031646
S005B043268,B043268
S001B026419,B026419
S008B039769,B039769
S002B013601,B013601
S006B045406,B045406
S007B049784,B049784
S007B034811,B034811
S000B000716,B000716
S008B040211,B040211
S005B005778,B005778
S008B006377,B006377
S004B049960,B049960
S004B049072,B049072
S005B023798,B023798
S006B004647,B004647
S006B031284,B031284
S008B008705,B008705
S000B041235,B041235
S004B020131,B020131
S006B020424,B020424
S007B043448,B043448
S000B027874,B027874
S005B004653,B004653
S005B015118,B015118
S001B016873,B016873
S004B032390,B032390
S003B033552,B033552
S001B021033,B021033
S005B007879,B007879
S006B006862,B006862
S002B011986,B011986
S008B024126,B024126
S005B010495,B010495
S005B029550,B029550
S005B045423,B045423
S000B032595,B032595
S008B042456,B042456
S000B049756,B049756
S009B016337,B016337
S005B009069,B009069
S003B007893,B007893
S005B043557,B043557
S004B018952,B018952
S007B006963,B006963
S003B003875,B003875
S000B001896,B001896
S004B008887,B008887
S009B045423,B045423
S001B048327,B048327
S000B000448,B000448
S004B026688,B026688
S003B018946,B018946
S003B047478,B047478
S000B027472,B027472
S005B040925,B040925
S004B014751,B014751
S009B023613,B023613
S007B010132,B010132
S006B045261,B045261
S009B020823,B020823
S007B019164,B019164
S000B024325,B024325
S007B041018,B041018
S001B021681,B021681
S005B031345,B031345
S006B025897,B025897
S006B006816,B006816
S008B019893,B019893
S008B009593,B009593
S004B009336,B009336
S000B019341,B019341
S004B002975,B002975
S006B018688,B018688
S006B031066,B031066
S000B045284,B045284
S002B004653,B004653
S004B036234,B036234
S000B032287,B032287
S006B027712,B027712
S005B028153,B028153
S004B031466,B031466
S004B001588,B001588
S000B017837,B017837
S002B038634,B038634
S005B020954,B020954
S000B004683,B004683
S002B018762,B018762
S005B039283,B039283
S004B016498,B016498
S005B003730,B003730
S009B049729,B049729
S006B043799,B043799
S000B000284,B000284
S008B026946,B026946
S004B045468,B045468
S002B034240,B034240
S006B001853,B001853
S007B048597,B048597
S005B013287,B013287
S003B023159,B023159
S005B022183,B022183
S005B041721,B041721
S004B034485,B034485
S009B021941,B021941
S000B039291,B039291
S008B028321,B028321
S007B020623,B020623
S000B045190,B045190
S003B034911,B034911
S000B045476,B045476
S009B030123,B030123
S009B013011,B013011
S006B033903,B033903
S000B013690,B013690
S009B037207,B037207
S001B009082,B009082
S009B038876,B038876
S001B047526,B047526
S000B009147,B009147
S001B040800,B040800
S008B041950,B041950
S003B034134,B034134
S008B019905,B019905
S008B005765,B005765
S002B038309,B038309
S006B027665,B027665
S001B044911,B044911
S008B031079,B031079
S007B029397,B029397
S006B011226,B011226
S000B017100,B017100
S001B027472,B027472
S009B029407,B029407
S005B017776,B017776
S002B022258,B022258
S002B007306,B007306
S001B013630,B013630
S006B039442,B039442
S000B049213,B049213
S002B033456,B033456
S005B033684,B033684
S005B048484,B048484
S006B020181,B020181
S001B006862,B006862
S006B021484,B021484
S002B004501,B004501
S001B030359,B030359
S001B014568,B014568
S007B028859,B028859
S009B031846,B031846
S006B006105,B006105
S007B038675,B038675
S001B030404,B030404
S001B006967,B006967
S005B024577,B024577
S002B044908,B044908
S001B043278,B043278
S004B029278,B029278
S009B016383,B016383
S009B001688,B001688
S000B031266,B031266
S007B036362,B036362
S004B002938,B002938
S002B024126,B024126
S001B036345,B036345
S005B002493,B002493
S003B000784,B000784
S002B047828,B047828
S005B045293,B045293
S002B014305,B014305
S008B008626,B008626
S009B040278,B040278
S005B013969,B013969
S004B044288,B044288
S005B042774,B042774
S008B007170,B007170
S002B050118,B050118
S006B048907,B048907
S007B024995,B024995
S003B039193,B039193
S000B011526,B011526
S004B015548,B015548
S003B005017,B005017
S002B002277,B002277
S001B024679,B024679
S008B035838,B035838
S002B007597,B007597
S005B015273,B015273
S007B043575,B043575
S001B029044,B029044
S009B005358,B005358
S004B001387,B001387
S000B035838,B035838
S008B036154,B036154
S009B034618,B034618
S006B023912,B023912
S000B025686,B025686
S001B026917,B026917
S004B036366,B036366
S004B046521,B046521
S007B045814,B045814
S005B013557,B013557
S008B013810,B013810
S002B001528,B001528
S005B028127,B028127
S003B003730,B003730
S006B010692,B010692
S000B009251,B009251
S007B014674,B014674
S007B019376,B019376
S005B005176,B005176
S006B021311,B021311
S000B023613,B023613
S005B004247,B004247
S003B046091,B046091
S008B034337,B034337
S009B036134,B036134
S001B015974,B015974
S000B009008,B009008
S003B009752,B009752
S007B019176,B019176
S004B022601,B022601
S000B036862,B036862
S007B049958,B049958
S008B044611,B044611
S009B039283,B039283
S008B015273,B015273
S000B006014,B006014
S005B008378,B008378
S002B037731,B037731
S009B041583,B041583
S005B005765,B005765
S004B034618,B034618
S001B048174,B048174
S001B044064,B044064
S003B013016,B013016
S009B010177,B010177
S004B048116,B048116
S009B008992,B008992
S002B004587,B004587
S003B037787,B037787
S006B042886,B042886
S004B036892,B036892
S005B013945,B013945
S005B041601,B041601
S005B032164,B032164
S009B007030,B007030
S003B018762,B018762
S004B031284,B031284
S005B018620,B018620
S006B018720,B018720
S002B005919,B005919
S004B026331,B026331
S007B015315,B015315
S009B027576,B027576
S009B008220,B008220
S009B011343,B011343
S005B015450,B015450
S003B035525,B035525
S002B040360,B040360
S007B046787,B046787
S006B046376,B046376
S006B035365,B035365
S000B010950,B010950
S009B009777,B009777
S004B018658,B018658
S003B027182,B027182
S002B047478,B047478
S002B006790,B006790
S006B012930,B012930
S002B011522,B011522
S004B010230,B010230
S000B026764,B026764
S004B022926,B022926
S002B020751,B020751
S008B036957,B036957
S006B003462,B003462
S007B020994,B020994
S006B048438,B048438
S009B035995,B035995
S005B034118,B034118
S000B011970,B011970
S006B019503,B019503
S002B031143,B031143
S008B011870,B011870
S006B038877,B038877
S006B047483,B047483
S003B033527,B033527
S008B002680,B002680
S005B041674,B041674
S005B012641,B012641
S001B031531,B031531
S001B041774,B041774
S003B032670,B032670
S003B049417,B049417
S009B049202,B049202
S007B024741,B024741
S001B004200,B004200
S001B012177,B012177
S004B014599,B014599
S000B025505,B025505
S004B013474,B013474
S001B001460,B001460
S003B017100,B017100
S007B013139,B013139
S001B032196,B032196
S008B033779,B033779
S007B025908,B025908
S009B024325,B024325
S000B036879,B036879
S003B013139,B013139
S003B043547,B043547
S002B014801,B014801
S003B010543,B010543
S000B015002,B015002
S004B025897,B025897
S005B003245,B003245
S000B021094,B021094
S000B034547,B034547
S009B026651,B026651
S006B016912,B016912
S004B044699,B044699
S006B012580,B012580
S006B024048,B024048
S005B043072,B043072
S007B023882,B023882
S006B003887,B003887
S007B018609,B018609
S005B046622,B046622
S000B045848,B045848
S002B010742,B010742
S008B011979,B011979
S001B012545,B012545
S000B005843,B005843
S001B019973,B019973
S006B049756,B049756
S008B026046,B026046
S009B003279,B003279
S003B004432,B004432
S007B000846,B000846
S005B000846,B000846
S007B014063,B014063
S006B043672,B043672
S004B007082,B007082
S007B002550,B002550
S000B016664,B016664
S006B007984,B007984
S008B019953,B019953
S005B019878,B019878
S004B023790,B023790
S006B023479,B023479
S004B043945,B043945
S002B043799,B043799
S006B015837,B015837
S005B026860,B026860
S009B008705,B008705
S006B043488,B043488
S003B003501,B003501
S007B021689,B021689
S004B021484,B021484
S009B032543,B032543
S009B007835,B007835
S008B005336,B005336
S002B019811,B019811
S000B047440,B047440
S000B031466,B031466
S002B001460,B001460
S008B030715,B030715
S004B035639,B035639
S005B021269,B021269
S002B019628,B019628
S006B046622,B046622
S001B037248,B037248
S000B041721,B041721
S006B009819,B009819
S001B045443,B045443
S003B021506,B021506
S008B018455,B018455
S005B044079,B044079
S008B014617,B014617
S009B030461,B030461
S002B017233,B017233
S001B004117,B004117
S002B007573,B007573
S008B020310,B020310
S007B044815,B044815
S005B029449,B029449
S006B001306,B001306
S007B006105,B006105
S001B000663,B000663
S002B030377,B030377
S004B003980,B003980
S009B045542,B045542
S007B048887,B048887
S008B035762,B035762
S008B029226,B029226
S005B031057,B031057
S009B017397,B017397
S004B013076,B013076
S007B005639,B005639
S003B039276,B039276
S000B031813,B031813
S002B035888,B035888
S009B028899,B028899
S009B013372,B013372
S008B016853,B016853
S001B008423,B008423
S005B018609,B018609
S002B027665,B027665
S001B027830,B027830
S002B016018,B016018
S002B021863,B021863
S002B031779,B031779
S004B042251,B042251
S009B046746,B046746
S006B049667,B049667
S000B048434,B048434
S006B017191,B017191
S007B003460,B003460
S002B028695,B028695
S009B022193,B022193
S000B023283,B023283
S008B013085,B013085
S004B034254,B034254
S003B021119,B021119
S003B021654,B021654
S003B044611,B044611
S001B010912,B010912
S001B045528,B045528
S000B034406,B034406
S009B048085,B048085
S004B050154,B050154
S008B038300,B038300
S002B039426,B039426
S000B042969,B042969
S009B017359,B017359
S006B003730,B003730
S007B022513,B022513
S004B042595,B042595
S009B018492,B018492
S003B026837,B026837
S007B044461,B044461
S001B038963,B038963
S002B023984,B023984
S000B022601,B022601
S003B031135,B031135
S004B029385,B029385
S001B048317,B048317
S009B042483,B042483
S009B017776,B017776
S008B012488,B012488
S005B011037,B011037
S008B041754,B041754
S006B026677,B026677
S008B043177,B043177
S003B040177,B040177
S002B050008,B050008
S000B025393,B025393
S001B030769,B030769
S006B034457,B034457
S000B016853,B016853
S001B045411,B045411
S003B011899,B011899
S000B011899,B011899
S001B025833,B025833
S009B043945,B043945
S000B036811,B036811
S000B036018,B036018
S000B008186,B008186
S003B009269,B009269
S003B031345,B031345
S009B032865,B032865
S006B001192,B001192
S006B004482,B004482
S007B043276,B043276
S004B024048,B024048
S009B001495,B001495
S005B023425,B023425
S004B001909,B001909
S007B038372,B038372
S009B006167,B006167
S007B032889,B032889
S009B049947,B049947
S001B009858,B009858
S001B008626,B008626
S002B038614,B038614
S007B002849,B002849
S007B019805,B019805
S002B031789,B031789
S002B045528,B045528
S008B048907,B048907
S009B028190,B028190
S005B034372,B034372
S006B020072,B020072
S007B022815,B022815
S000B028791,B028791
S005B003004,B003004
S002B002146,B002146
S006B030162,B030162
S004B010004,B010004
S006B002849,B002849
S007B011924,B011924
S002B022405,B022405
S003B046812,B046812
S002B023441,B023441
S009B010730,B010730
S000B021964,B021964
S009B010456,B010456
S001B031505,B031505
S004B012224,B012224
S005B037834,B037834
S009B045449,B045449
S008B006014,B006014
S000B040383,B040383
S000B030019,B030019
S003B017464,B017464
S006B014553,B014553
S003B043976,B043976
S004B016853,B016853
S002B021282,B021282
S005B043970,B043970
S001B022814,B022814
S004B039276,B039276
S001B029348,B029348
S001B047267,B047267
S008B020799,B020799
S001B021484,B021484
S006B007667,B007667
S004B003113,B003113
S006B017228,B017228
S002B040673,B040673
S006B019757,B019757
S000B014366,B014366
S000B001187,B001187
S008B021338,B021338
S007B025357,B025357
S005B025986,B025986
S002B021497,B021497
S001B040239,B040239
S007B002719,B002719
S000B044312,B044312
S007B005207,B005207
S003B040383,B040383
S007B030391,B030391
S009B011683,B011683
S005B010512,B010512
S007B009728,B009728
S006B031580,B031580
S000B030578,B030578
S000B017776,B017776
S007B005626,B005626
S004B008423,B008423
S008B001453,B001453
S000B000920,B000920
S008B044196,B044196
S000B006604,B006604
S006B008907,B008907
S002B001360,B001360
S000B007138,B007138
S002B049885,B049885
S009B034793,B034793
S008B045476,B045476
S005B036176,B036176
S004B013829,B013829
S008B037041,B037041
S001B016072,B016072
S009B049790,B049790
S000B002867,B002867
S006B037050,B037050
S003B021847,B021847
S000B010706,B010706
S006B002864,B002864
S005B005710,B005710
S002B027489,B027489
S001B037739,B037739
S004B042691,B042691
S009B041953,B041953
S001B008126,B008126
S007B001350,B001350
S004B046492,B046492
S004B028636,B028636
S008B045996,B045996
S005B045542,B045542
S007B034134,B034134
S009B036269,B036269
S008B010336,B010336
S008B015362,B015362
S000B022747,B022747
S005B004208,B004208
S004B044096,B044096
S006B042308,B042308
S003B039079,B039079
S009B001543,B001543
S006B026185,B026185
S007B019341,B019341
S005B028110,B028110
S004B043557,B043557
S008B025393,B025393
S004B043575,B043575
S008B034502,B034502
S003B000982,B000982
S008B034108,B034108
S005B035395,B035395
S008B035769,B035769
S008B004963,B004963
S003B034903,B034903
S001B027400,B027400
S000B049813,B049813
S004B030894,B030894
S001B044094,B044094
S003B043765,B043765
S001B010829,B010829
S000B047602,B047602
S008B017464,B017464
S008B003462,B003462
S001B008439,B008439
S009B018065,B018065
S000B003825,B003825
S001B010495,B010495
S007B033202,B033202
S002B008423,B008423
S002B004205,B004205
S006B011804,B011804
S000B015317,B015317
S003B032792,B032792
S009B026033,B026033
S009B041018,B041018
S001B027688,B027688
S009B038193,B038193
S000B026522,B026522
S000B041172,B041172
S005B015244,B015244
S006B040834,B040834
S005B037028,B037028
S006B029445,B029445
S008B034435,B034435
S006B036269,B036269
S009B001213,B001213
S007B046640,B046640
S000B045277,B045277
S008B045449,B045449
S002B037787,B037787
S009B013443,B013443
S001B040019,B040019
S004B029806,B029806
S000B035888,B035888
S004B005343,B005343
S006B020274,B020274
S008B032379,B032379
S005B016185,B016185
S000B005973,B005973
S005B034168,B034168
S004B008835,B008835
S005B019341,B019341
